match_id,key,slot,time,unit,polarity_score,sentiment_label
6877,xd,0,1631,Racha ultimate,0.5859,Positive
4321,xd,7,475,Gucci MagiK,0.5859,Positive
7224,bloody aswome,6,2577,?,-0.4404,Negative
11357,doom,7,2024,Chief Sir (Mango),-0.4019,Negative
32548,só falo isso,0,2266,Jã0,0.0,Negative
1893,ммм,5,1833,666 Degrees桜,0.0,Negative
35863,wp,1,2485,Bang Down Owned~!,0.25,Positive
4764,haha,3,2534,3rd Gear ...,0.4588,Positive
47361,nice ward,6,1479,Andreiutz #mid,0.4215,Positive
13682,lol,8,1690,deej,0.4215,Positive
5890,ye,4,1952,✯Halvnaken~_^,0.0,Negative
25300,ggwp,9,2092,HIER.Artminute.Standin,0.0,Negative
25630,pa,9,1986,Rat Dong,0.0,Negative
32412,please reportall,9,1591,AuRoN  play :´D,0.3182,Positive
18331,luck noobfuck,2,816,dón kíjam-,0.4588,Positive
36733,gg,8,4166,Drink the Ocean,0.296,Positive
21261,ez,3,1587,#My friend is Crazy.....!,0.3612,Positive
39573,happy defending,6,2256,Frankfruit is REAL!,0.5719,Positive
35420,sure,1,2074,Chester Bennington,0.3182,Positive
41542,nope,4,879,JaiktheSnaik,0.0,Negative
36109,да блять снесите уже,1,2207,{BK}SnakeFFPoke,0.0,Negative
19059,bb,1,2221,Twang,0.0,Negative
27598,real bot bro,5,1209,BAPET,0.0,Negative
18012,end pls,5,1509,Stromblad,0.0772,Positive
35090,hahaha,9,2127,Nervees,0.5574,Positive
31492,gg wp,7,3620,Intense,0.4939,Positive
43586,пуште мы гг,1,3156,Паша ТЕХник,0.0,Negative
49771,huskar,6,2419,Athena,0.0,Negative
12409,nice la peru,7,1975,kill yourself,0.4215,Positive
44471,gg,3,3353,Fortune's Fool,0.296,Positive
17347,ez hr,0,3516,10yrs Cntrct.,0.3612,Positive
29727,ff,2,2191,波濤洶湧,0.4215,Positive
41363,lol,8,2079,Syams,0.4215,Positive
15051,nice,5,2978,EG_Mr.T,0.4215,Positive
33589,hahahahaha,5,1865,petssssss,0.0,Negative
18150,iya maap,2,2447,Lucy Fairy,0.0,Negative
497,cant,2,-31,Damnation-,0.0,Negative
15185,play like shit,9,1352,beaverknight,0.0772,Positive
22714,ratita,8,2407,Camarada Artemio.,0.0,Negative
10735,wait puck u,9,535,BRING ME THE HORIZON,0.0,Negative
20601,viva el doto peruano,8,1428,Laxus.埃里克,0.0,Negative
10977,lol,5,2095,Brerik,0.4215,Positive
2907,sandking jungling buying support item ever game,0,972,Minester,0.4019,Positive
28724,tryhard lol,7,2947,Kirito,0.4215,Positive
3588,ez fucking game,9,1248,V;ktr,0.3612,Positive
32410,ni padre tiene,3,966,333,0.0,Negative
33687,dota,5,2254,entrust,0.0,Negative
