,Item_Names,Anti-Mage,Axe,Bane,Bloodseeker,Crystal Maiden,Drow Ranger,Earthshaker,Juggernaut,Mirana,Morphling,Shadow Fiend,Phantom Lancer,Puck,Pudge,Razor,Sand King,Storm Spirit,Sven,Tiny,Vengeful Spirit,Windranger,Zeus,Kunkka,Lina,Lion,Shadow Shaman,Slardar,Tidehunter,Witch Doctor,Lich,Riki,Enigma,Tinker,Sniper,Necrophos,Warlock,Beastmaster,Queen of Pain,Venomancer,Faceless Void,Wraith King,Death Prophet,Phantom Assassin,Pugna,Templar Assassin,Viper,Luna,Dragon Knight,Dazzle,Clockwerk,Leshrac,Nature's Prophet,Lifestealer,Dark Seer,Clinkz,Omniknight,Enchantress,Huskar,Night Stalker,Broodmother,Bounty Hunter,Weaver,Jakiro,Batrider,Chen,Spectre,Ancient Apparition,Doom,Ursa,Spirit Breaker,Gyrocopter,Alchemist,Invoker,Silencer,Outworld Devourer,Lycan,Brewmaster,Shadow Demon,Lone Druid,Chaos Knight,Meepo,Treant Protector,Ogre Magi,Undying,Rubick,Disruptor,Nyx Assassin,Naga Siren,Keeper of the Light,Io,Visage,Slark,Medusa,Troll Warlord,Centaur Warrunner,Magnus,Timbersaw,Bristleback,Tusk,Skywrath Mage,Abaddon,Elder Titan,Legion Commander,Techies,Ember Spirit,Earth Spirit,Terrorblade,Phoenix,Oracle,Winter Wyvern
0,blink,"{'travel_boots', 'manta', 'abyssal_blade', 'ultimate_scepter', 'heart'}","{'blade_mail', 'bottle', 'ultimate_scepter', 'assault', 'heart'}","{'monkey_king_bar', 'travel_boots', 'ultimate_scepter', 'assault', 'tpscroll'}","{'radiance', 'monkey_king_bar', 'travel_boots', 'ultimate_scepter', 'sange_and_yasha'}","{'radiance', 'travel_boots', 'manta', 'ultimate_scepter', 'assault'}","{'travel_boots', 'manta', 'greater_crit', 'ultimate_scepter', 'tpscroll'}","{'monkey_king_bar', 'octarine_core', 'travel_boots', 'manta', 'black_king_bar'}","{'monkey_king_bar', 'travel_boots', 'manta', 'tranquil_boots', 'tpscroll'}","{'monkey_king_bar', 'travel_boots', 'greater_crit', 'ultimate_scepter', 'assault'}","{'travel_boots', 'manta', 'ethereal_blade', 'ultimate_scepter', 'skadi'}","{'butterfly', 'monkey_king_bar', 'travel_boots', 'black_king_bar', 'ultimate_scepter'}","{'manta', 'diffusal_blade_2', 'ultimate_scepter', 'tpscroll', 'heart'}","{'monkey_king_bar', 'travel_boots', 'dagon_5', 'manta', 'ultimate_scepter'}","{'radiance', 'travel_boots', 'ultimate_scepter', 'assault', 'heart'}","{'monkey_king_bar', 'travel_boots', 'ultimate_scepter', 'assault', 'sange_and_yasha'}","{'octarine_core', 'travel_boots', 'manta', 'bfury', 'arcane_boots'}","{'sheepstick', 'travel_boots', 'bloodstone', 'black_king_bar', 'ultimate_scepter'}","{'black_king_bar', 'greater_crit', 'ultimate_scepter', 'assault', 'mask_of_madness'}","{'travel_boots', 'greater_crit', 'moon_shard', 'ultimate_scepter', 'assault'}","{'travel_boots', 'black_king_bar', 'ultimate_scepter', 'assault', 'force_staff'}","{'travel_boots', 'black_king_bar', 'greater_crit', 'ultimate_scepter', 'assault'}","{'octarine_core', 'travel_boots', 'black_king_bar', 'ultimate_scepter', 'tpscroll'}","{'monkey_king_bar', 'travel_boots', 'greater_crit', 'ultimate_scepter', 'assault'}","{'monkey_king_bar', 'travel_boots', 'ultimate_scepter', 'assault', 'tpscroll'}","{'radiance', 'travel_boots', 'manta', 'bfury', 'assault'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'ultimate_scepter', 'tpscroll'}","{'monkey_king_bar', 'manta', 'black_king_bar', 'ultimate_scepter', 'assault'}","{'travel_boots', 'refresher', 'ultimate_scepter', 'shivas_guard', 'tpscroll'}","{'travel_boots', 'black_king_bar', 'ultimate_scepter', 'assault', 'tpscroll'}","{'monkey_king_bar', 'travel_boots', 'greater_crit', 'ultimate_scepter', 'assault'}","{'travel_boots', 'gem', 'manta', 'ultimate_scepter', 'force_staff'}","{'octarine_core', 'travel_boots', 'black_king_bar', 'refresher', 'ultimate_scepter'}","{'sheepstick', 'dagon_5', 'ethereal_blade', 'manta', 'bfury'}","{'monkey_king_bar', 'travel_boots', 'manta', 'black_king_bar', 'greater_crit'}","{'octarine_core', 'travel_boots', 'black_king_bar', 'ultimate_scepter', 'tpscroll'}","{'monkey_king_bar', 'travel_boots', 'refresher', 'ultimate_scepter', 'tpscroll'}","{'glimmer_cape', 'travel_boots', 'ultimate_scepter', 'assault', 'force_staff'}","{'monkey_king_bar', 'sheepstick', 'travel_boots', 'ultimate_scepter', 'assault'}","{'monkey_king_bar', 'travel_boots', 'greater_crit', 'ultimate_scepter', 'assault'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'ultimate_scepter', 'mask_of_madness'}","{'radiance', 'travel_boots', 'black_king_bar', 'ultimate_scepter', 'tpscroll'}","{'octarine_core', 'travel_boots', 'ultimate_scepter', 'force_staff', 'tpscroll'}","{'monkey_king_bar', 'travel_boots', 'abyssal_blade', 'black_king_bar', 'ultimate_scepter'}","{'travel_boots', 'manta', 'greater_crit', 'assault', 'tpscroll'}","{'monkey_king_bar', 'desolator', 'black_king_bar', 'greater_crit', 'ultimate_scepter'}","{'monkey_king_bar', 'travel_boots', 'ultimate_scepter', 'assault', 'tpscroll'}","{'butterfly', 'manta', 'black_king_bar', 'ultimate_scepter', 'satanic'}","{'travel_boots', 'black_king_bar', 'ultimate_scepter', 'assault', 'tpscroll'}","{'travel_boots', 'tranquil_boots', 'assault', 'force_staff', 'tpscroll'}","{'monkey_king_bar', 'travel_boots', 'blade_mail', 'ultimate_scepter', 'tpscroll'}","{'octarine_core', 'travel_boots', 'bloodstone', 'ultimate_scepter', 'tpscroll'}","{'monkey_king_bar', 'travel_boots', 'manta', 'desolator', 'greater_crit'}","{'travel_boots', 'abyssal_blade', 'ultimate_scepter', 'assault', 'sange_and_yasha'}","{'travel_boots', 'black_king_bar', 'guardian_greaves', 'ultimate_scepter', 'shivas_guard'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'greater_crit', 'ultimate_scepter'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'ultimate_scepter', 'assault'}","{'travel_boots', 'manta', 'black_king_bar', 'ultimate_scepter', 'assault'}","{'travel_boots', 'armlet', 'assault', 'satanic', 'force_staff'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'ultimate_scepter', 'assault'}","{'travel_boots', 'desolator', 'ultimate_scepter', 'assault', 'necronomicon_3'}","{'guardian_greaves', 'orb_of_venom', 'solar_crest', 'ultimate_scepter', 'tpscroll'}","{'monkey_king_bar', 'travel_boots', 'desolator', 'greater_crit', 'ultimate_scepter'}","{'travel_boots', 'tranquil_boots', 'ultimate_scepter', 'assault', 'tpscroll'}","{'radiance', 'manta', 'black_king_bar', 'assault', 'force_staff'}","{'guardian_greaves', 'black_king_bar', 'ultimate_scepter', 'force_staff', 'tpscroll'}","{'radiance', 'manta', 'ultimate_scepter', 'force_staff', 'heart'}","{'travel_boots', 'greater_crit', 'hand_of_midas', 'ultimate_scepter', 'assault'}","{'travel_boots', 'black_king_bar', 'refresher', 'ultimate_scepter', 'assault'}","{'travel_boots', 'abyssal_blade', 'black_king_bar', 'ultimate_scepter', 'vladmir'}","{'monkey_king_bar', 'travel_boots', 'manta', 'assault', 'tpscroll'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'ultimate_scepter', 'satanic'}","{'radiance', 'octarine_core', 'travel_boots', 'manta', 'tpscroll'}","{'monkey_king_bar', 'octarine_core', 'travel_boots', 'ultimate_scepter', 'assault'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'assault', 'tpscroll'}","{'monkey_king_bar', 'sheepstick', 'refresher', 'ultimate_scepter', 'tpscroll'}","{'black_king_bar', 'bottle', 'ultimate_scepter', 'assault', 'vladmir'}","{'travel_boots', 'black_king_bar', 'greater_crit', 'assault', 'vladmir'}","{'monkey_king_bar', 'travel_boots', 'tranquil_boots', 'assault', 'tpscroll'}","{'glimmer_cape', 'travel_boots', 'black_king_bar', 'ultimate_scepter', 'vladmir'}","{'travel_boots', 'ancient_janggo', 'tranquil_boots', 'assault', 'heart'}","{'sheepstick', 'ethereal_blade', 'ultimate_scepter', 'force_staff', 'tpscroll'}","{'radiance', 'monkey_king_bar', 'octarine_core', 'travel_boots', 'ultimate_scepter'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'ultimate_scepter', 'assault'}","{'monkey_king_bar', 'travel_boots', 'manta', 'tranquil_boots', 'tpscroll'}","{'travel_boots', 'manta', 'greater_crit', 'bfury', 'ultimate_scepter'}","{'travel_boots', 'manta', 'greater_crit', 'ultimate_scepter', 'assault'}","{'travel_boots', 'gem', 'manta', 'bfury', 'ultimate_scepter'}","{'radiance', 'octarine_core', 'manta', 'ultimate_scepter', 'tpscroll'}","{'manta', 'greater_crit', 'tranquil_boots', 'ultimate_scepter', 'tpscroll'}","{'bottle', 'ultimate_scepter', 'assault', 'arcane_boots', 'mekansm'}","{'tranquil_boots', 'ultimate_scepter', 'assault', 'solar_crest', 'tpscroll'}","{'travel_boots', 'gem', 'black_king_bar', 'ultimate_scepter', 'skadi'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'ultimate_scepter', 'skadi'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'ultimate_scepter', 'sange_and_yasha'}","{'radiance', 'travel_boots', 'tranquil_boots', 'ultimate_scepter', 'assault'}","{'travel_boots', 'refresher', 'ultimate_scepter', 'force_staff', 'tpscroll'}","{'monkey_king_bar', 'octarine_core', 'bloodstone', 'ultimate_scepter', 'shivas_guard'}","{'octarine_core', 'travel_boots', 'ultimate_scepter', 'assault', 'heart'}","{'silver_edge', 'travel_boots', 'desolator', 'ultimate_scepter', 'assault'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'assault', 'tpscroll'}","{'black_king_bar', 'soul_ring', 'ultimate_scepter', 'assault', 'tpscroll'}","{'travel_boots', 'manta', 'black_king_bar', 'ultimate_scepter', 'tpscroll'}","{'travel_boots', 'manta', 'desolator', 'black_king_bar', 'assault'}","{'octarine_core', 'travel_boots', 'greater_crit', 'ultimate_scepter', 'force_staff'}","{'monkey_king_bar', 'greater_crit', 'ultimate_scepter', 'assault', 'force_staff'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'ultimate_scepter', 'assault'}","{'butterfly', 'travel_boots', 'manta', 'ultimate_scepter', 'skadi'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'assault', 'shivas_guard'}","{'monkey_king_bar', 'travel_boots', 'manta', 'assault', 'tpscroll'}","{'glimmer_cape', 'manta', 'tranquil_boots', 'bfury', 'tpscroll'}"
1,blades_of_attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,broadsword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,chainmail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,claymore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,helm_of_iron_will,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,javelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,mithril_hammer,,,,{'power_treads'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'vladmir', 'tpscroll', 'power_treads'}",,,,,,,,,,,,,,,,,,{'phase_boots'},,,,,,,,,"{'blink', 'power_treads'}",,,,,,,
8,platemail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'tpscroll', 'blink'}",,,,,,,,,,,,,,"{'phase_boots', 'blink', 'tpscroll', 'power_treads'}",,,,,,,,,,,,,,,,,,,,,,,"{'ultimate_scepter', 'tpscroll', 'blink', 'power_treads'}",,,,,,,{'power_treads'},,,,"{'tpscroll', 'power_treads'}",,,,,,"{'tpscroll', 'tranquil_boots'}",,
9,quarterstaff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
