,index,Beastmaster,Earthshaker,Morphling,Phantom Lancer,Undying,Bounty Hunter,Earth Spirit,Ogre Magi,Shadow Fiend,Slardar,Faceless Void,Juggernaut,Lion,Tiny,Windranger,Dazzle,Medusa,Spirit Breaker,Venomancer,Abaddon,Nature's Prophet,Ursa,Crystal Maiden,Enigma,Lifestealer,Phoenix,Centaur Warrunner,Templar Assassin,Alchemist,Doom,Treant Protector,Viper,Night Stalker,Witch Doctor,Disruptor,Invoker,Legion Commander,Anti-Mage,Drow Ranger,Luna,Riki,Silencer,Dark Seer,Winter Wyvern,Bane,Lina,Timbersaw,Bristleback,Kunkka,Storm Spirit,Warlock,Nyx Assassin,Spectre,Axe,Slark,Vengeful Spirit,Jakiro,Zeus,Pudge,Naga Siren,Shadow Demon,Tinker,Leshrac,Tusk,Sven,Terrorblade,Magnus,Necrophos,Wraith King,Keeper of the Light,Meepo,Lycan,Clockwerk,Lich,Huskar,Dragon Knight,Io,Queen of Pain,Clinkz,Sniper,Ancient Apparition,Rubick,Ember Spirit,Death Prophet,Troll Warlord,Gyrocopter,Mirana,Omniknight,Razor,Outworld Devourer,Chaos Knight,Tidehunter,Weaver,Phantom Assassin,Techies,Sand King,Bloodseeker,Oracle,Puck,Pugna,Elder Titan,Batrider,Enchantress,Broodmother,Brewmaster,Chen,Skywrath Mage,Visage,Lone Druid,Shadow Shaman
0,Shadow Shaman,0.3944745960566067,0.4493824186532004,0.4667840461701028,0.5107207393958045,0.4235090008127162,0.5078187019375595,0.4730239553146009,0.4731896198758988,0.4505827567994588,0.4482893116297429,0.5752708182365411,0.4347232606423916,0.5578248202051019,0.4782450021915833,0.5191075916912863,0.4845159074345655,0.4570141949009418,0.4205355973728977,0.416895357877095,0.399513807413612,0.5008585791277037,0.4427074478839901,0.4241635676707069,0.4746712178875154,0.4636597472812892,0.4434996787325011,0.3875815952518113,0.4701778707528742,0.4992162072413497,0.4426090744977257,0.3205503459351095,0.39993741806811,0.4107181183792194,0.4658291886760318,0.4406627992473912,0.4695010417109136,0.5448567490943166,0.569327077721871,0.363194080045725,0.338595172304009,0.393855674690215,0.4486237971218836,0.4636346973868369,0.4725356572047453,0.4479466070482109,0.5231789177287135,0.4122001909112013,0.4296994144097765,0.5110114561270996,0.5578396113196255,0.3974582344396337,0.5133466505133206,0.3745453644201076,0.5260472172509743,0.4858670482794924,0.3328635365225886,0.4479466070482109,0.4138362498668778,0.510348243521031,0.4579840817085566,0.3920526756263652,0.5194053896936471,0.5208113075778424,0.4853070773281674,0.4292466738276321,0.4290435759126879,0.5189842940127406,0.3945485358535946,0.376050835177162,0.3467202663016079,0.4119603708988548,0.3813741307280402,0.4982553310642383,0.3735613433157404,0.4951683282872272,0.417595238289514,0.4530710172046892,0.5257624661334857,0.5214756403534316,0.4511801489119387,0.501128323264124,0.5236142642008428,0.5203111568341227,0.5028653953994611,0.5262393914856138,0.4666703067560824,0.4514509623330466,0.315074120707809,0.4974726677887136,0.5077145897601354,0.3917398977058998,0.4063062494903745,0.5038412276075694,0.4903539466356552,0.4273986728598904,0.4906152577613192,0.5516286154411355,0.4916636571945582,0.5174573253344069,0.4028869302897975,0.4815044693099298,0.4332857738696422,0.4419432537390302,0.3646872121356355,0.3851174489004461,0.4253485008511553,0.4485732934119226,0.2760838973025655,0.3724245374822684,
1,Terrorblade,0.2789133373121097,0.4286593163195331,0.4080726333731245,0.4753878184942342,0.4402926538684666,0.4968512566878156,0.3982909179893206,0.4696146675310539,0.4519810506163771,0.3405322655975466,0.3930781003259249,0.4244335026834086,0.3971264595180941,0.447382669139246,0.468320151326759,0.4234808446438192,0.3891564047231397,0.3115013560083117,0.3675230846944931,0.3517598742517603,0.4736651586070436,0.2990893171041682,0.3822358341961157,0.3675230846944931,0.3907745474012537,0.4785980915968846,0.2798456817718068,0.4285798342234588,0.5203479982854825,0.3415776541135262,0.4983581419637688,0.4633898487349736,0.4257359722005412,0.4106740735841354,0.3574799356278524,0.4454533200161677,0.4408540151314478,0.5257652762837005,0.3726680881398466,0.4411810456996274,0.2986741800934037,0.4486898633729702,0.3164861911803876,0.4481124121561988,0.3430886457604498,0.5130999072263199,0.3459033412280421,0.360897211239025,0.4326981634641444,0.4227501741982777,0.1907984080276724,0.3002331907888159,0.3610960867183849,0.4999205570014957,0.4194284735608874,0.4829379647735627,0.3139691799436433,0.2847260813834064,0.4868240601140989,0.357468301206246,0.3754796321097091,0.4220623987810458,0.2581978582556243,0.516691167918266,0.3457274259756359,,0.4178925188089536,0.4003029997040413,0.3522458571744525,0.4433949777984615,0.4080726333731245,0.0704754934698156,0.4328935482915867,0.3456979638413221,0.4652120802857404,0.4219506854199107,0.2875585353039122,0.5240333502568955,0.4382410861966073,0.557825607589722,0.4890621240533078,0.5172255704404097,0.4453250022381808,0.2242859443571279,0.3086938710806883,0.4067178055343347,0.4704829974711218,0.348112700214876,0.4731859774104275,0.358126892344679,0.3425442955443266,0.4433949777984615,0.3033182401992927,0.4537485091292803,0.2789133373121097,0.4408186530458819,0.469414786732055,0.4171354773851977,0.4915194951399626,0.3545793874685879,0.3465979532073494,0.331785563988119,0.3865815007622531,0.4253485008511553,0.4295170809013101,0.2127127162245976,0.3412468943404568,0.4087865377511576,0.331785563988119,0.4597219896855096
2,Dazzle,0.4886501119972675,0.5244439794635725,0.5611175144329031,0.5456855756297251,0.4760434461496631,0.5027081102083993,0.4748704910331788,0.494378446445153,0.4891878513417981,0.4885776769920428,0.5472973056756936,0.5077289250866419,0.5203264288539924,0.5314274367515947,0.5397090988900574,,0.4221253701139964,0.4643316222951194,0.4842900638618698,0.4615183483641539,0.5982339173916801,0.4208227617839254,0.4706810090147213,0.4252561105750249,0.5782184420523274,0.4426541051303767,0.4851836616461029,0.5056938632620993,0.5081519005082744,0.440919622010614,0.5120628155523623,0.4978593111768276,0.5458720764708151,0.4962946225619763,0.5082224086621435,0.5236661130412357,0.5739558138773422,0.5704066548568507,0.4391105910553926,0.4437795161339169,0.4707731583753038,0.4845331445751362,0.5050746321644203,0.5103228790787597,0.5171086075972131,0.5825553447239857,0.5620862008673483,0.5613629176476772,0.5412064400603188,0.6107417519197953,0.4643583127003794,0.5374274287550831,0.4387200375580931,0.5599386417528054,0.5406856929766211,0.5109904747849142,0.4886817538054009,0.4602656995008473,0.5618807507870422,0.5423540245160873,0.5045918611185738,0.6186640588563368,0.4820807267303315,0.5215533961931517,0.5088056640516554,0.4603451940164348,0.5639041387186577,0.4748962765142339,0.4780205205927506,0.5127596085664016,0.5154937461079322,0.4205991755478547,0.5382792667616438,0.4524807729663282,0.5423248390429939,0.5443728905997962,0.5466564296276215,0.5776098555300004,0.5018532420723184,0.5262988262133363,0.5060771009622491,0.5504344610148395,0.5842732902249237,0.4379253778654674,0.5040072647713907,0.5098351991444832,0.5027209276390946,0.4297288642317208,0.498983152403498,0.502172392638316,0.4574825429675411,0.4993551952485078,0.5374274287550831,0.5547261196653351,0.4174624483181871,0.5484555157050373,0.5141527674515278,0.5286181108850019,0.575719260532042,0.532088986492067,0.4644419396517996,0.5413284242837405,0.5804523729682268,0.6273162845710254,0.5265570743293008,0.4191645760462989,0.5790776692946924,0.4350244792053239,0.5487200577715647,0.4957091341636985
3,Lion,0.3378294673985278,0.4678335771143009,0.475148574997208,0.5093597370753706,0.3576421858718825,0.4822600785153516,0.4551494247402657,0.4264561661663679,0.4470188036532955,0.4059705530270798,0.5174756303971024,0.4576534003116946,,0.488508463534342,0.4957853440220374,0.4581975756679288,0.4216351868835644,0.4257922307479314,0.3680620379757176,0.3969910314025922,0.4945418296740477,0.3863367284101784,0.4220263051585801,0.4035094218335051,0.4757202595305979,0.4016654878380518,0.4129451927468981,0.450781469493389,0.4587034518763086,0.4314912568222359,0.4178781080785749,0.4113353133796445,0.4222444849443716,0.4517819288731435,0.4191254102658504,0.4700551334390023,0.4766055004687247,0.5098642819865491,0.4275504012766452,0.3523243762556076,0.4393517506842256,0.4052579293128557,0.4087755717727411,0.4520520940753064,0.4116642833421076,0.5594897494428027,0.4734249023119442,0.4541548648409316,0.4702035428046499,0.5030738927051975,0.4388924567035793,0.475764423078693,0.365808978973156,0.4876805718522558,0.4778765682660327,0.4228649398211914,0.427092323245217,0.4346358398849685,0.4643606306323896,0.4759032494751173,0.4409609341541314,0.4943410392670095,0.3664638847064693,0.4623805863055998,0.4466835010574544,0.4306787815808836,0.5640969147804423,0.4328001243436341,0.3902637488253573,0.4094700301228351,0.4693069295264905,0.3791745577347589,0.4535882579519933,0.3737738607642373,0.4585930506579533,0.3792847122123897,0.566494145176867,0.5263788273139192,0.4479253040585297,0.5333519391392058,0.4909597104696253,0.5180299088655277,0.4850156913785513,0.4093524079980872,0.4183434677171528,0.461018068056378,0.4432003560423629,0.3751477449962488,0.4373929470837863,0.4709760059366673,0.4244335026834086,0.3910852008391494,0.5009202405902187,0.5074107211842862,0.423794182050557,0.5331363207130452,0.4451622164754512,0.3993829123016309,0.5183506718520056,0.4476274393498425,0.3262812091954944,0.3779648586486545,0.4784767924074372,0.4709760059366673,0.4698388741794012,0.4261501134338917,0.4821829985544743,0.4075137344611715,0.3747394097477208,0.4294545684385656
4,Phantom Assassin,0.4211604421032842,0.4786012783444091,0.4706387590487241,0.5110127871951399,0.3338479318658219,0.475617869918073,0.3867069356309431,0.4360987418565398,0.4191201027812061,0.3935484770507399,0.5161929825895336,0.4248785862578902,0.4889188701425943,0.4454305127192918,0.4954444951907289,0.4356696097935295,0.402808195876261,0.416339475611651,0.3982778099912066,0.3183069337389826,0.5804387342685613,0.3845430201203181,0.412719506543945,0.4175289979894712,0.5207916748633974,0.4012361313478136,0.379804210973615,0.4887879539662638,0.4725519535357356,0.4105124888208009,0.3619852162816067,0.4191067058750987,0.439382268049082,0.4249061606114735,0.4361566859688418,0.4817027391693363,0.5032150224905567,0.5349546759609534,0.4675532730357639,0.336578357817016,0.4590546664781516,0.4200513495564206,0.4267596148401799,0.4585061178806872,0.4736389767328529,0.50979767233907,0.4366612782199102,0.4599275032293359,0.4827335770753896,0.5285120335299993,0.4593288080904364,0.4719073027310806,0.3712687196308832,0.531524026946554,0.4634641519229711,0.4036856532203325,0.4809100973882034,0.3787241531655756,0.4655126412526289,0.4779146064474732,0.4635544689137371,0.4265880625202378,0.4525254808063803,0.467134996412,0.4277623939021336,0.4013619999178976,0.4892133685374604,0.3862178580174319,0.3928036569501065,0.4219390250742557,0.5097904111525656,0.4572998310457331,0.4612913907877848,0.3404395993444932,0.4893971611605838,0.4611506846498905,0.4878035778670699,0.5119982719996635,0.497023359251533,0.5636151729376266,0.4496854623713273,0.5297148458382583,0.5152259147618804,0.4133307897764292,0.4061807298284116,0.4259203513661053,0.3961761690609625,0.3273976964803686,0.416363789816531,0.4671226830259511,0.3817411315442202,0.4161803942181338,0.4358675820950317,,0.4778354440809887,0.4471665890950647,0.4642146927918509,0.3974582344396337,0.4742092428230353,0.4287477185847909,0.4208569740212842,0.3560327891916607,0.4684752561225493,0.4567139794723164,0.381932067205923,0.3966008127870629,0.4366719012760553,0.3450843044359569,0.447506946295353,0.422575978359794
5,Riki,0.4058725487361115,0.5655463363882854,0.5993307953519995,0.6236125382689082,0.4915643040934006,0.5480932276447004,0.4386608042564524,0.530351217012756,0.5248942259788446,0.5083309729506191,0.6010519650075876,0.5061802648966853,0.5682787035251545,0.5352080449595953,0.559509584715125,0.52927425820148,0.4290154460449416,0.4388233562026598,0.4991787756967406,0.4659374630633171,0.6234577842339779,0.4880040940632112,0.4612011131818901,0.500216101707328,0.5642958849727131,0.4704829974711218,0.4342966741338616,0.5103831110516338,0.5838629765950856,0.4952238526942638,0.4587738410724954,0.4579768574571226,0.5358834915928536,0.5277987795212249,0.5913528478836292,0.5549448419685565,0.537796514524973,0.6394507221802671,0.5134707075981798,0.4420428654937459,,0.5205923713272195,0.4500914104506484,0.5094011668277725,0.5276775959527483,0.6386296937279632,0.4768498255732934,0.5608477118066716,0.6016560026038711,0.5632754823580859,0.4338555617362692,0.5306606636400572,0.4514509623330466,0.576412889703111,0.58166737165342,0.5274863956714342,0.5979749321048041,0.4825080347513009,0.5164475003420153,0.5497300046930566,0.454778365598502,0.599163861584332,0.4729004239720053,0.5539963631801404,0.5137125378258728,0.4290435759126879,0.5631934675134577,0.4915586120445129,0.4513548115526872,0.4194386321529741,0.5526464467822214,0.4556065322409429,0.5561430369897816,0.4270232467793761,0.5622150167683272,0.5316194156172028,0.551246483089225,0.5725740170430572,0.5430875016687685,0.5680566512168067,0.5296299203383678,0.6276054345138394,0.6046251503605086,0.4473330165086063,0.4866811646992894,0.5265743335729856,0.506630235756166,0.4175540624128155,0.5065704511305059,0.5237596521778157,0.452462724621383,0.5340730116146917,0.4820807267303315,0.5064909780988117,0.4688974928537032,0.620051829764604,0.4576245569983104,0.544240546784708,0.5325638551414933,0.4791144552056522,0.3991801621874118,0.5976780188832919,0.5301580035565572,0.5568803111840908,0.501410168761127,0.4812070108791201,0.5713915210827978,0.4785980915968846,0.6365163381083228,0.5619670336698251
6,Dark Seer,0.4129754550090091,0.4857153573502928,0.4662256136168775,0.5112189889151363,0.4560928323987567,0.4721255716686909,0.45185117308684,0.4541621645324604,0.4840566257973635,0.3967883356862277,0.483209084953105,0.4801361798791915,0.4797393599913281,0.4935938330039953,0.5140913279284824,0.4723651761205585,0.4808088023662691,0.4561110595685864,0.4447705297128773,0.4164905514380718,0.5777845978980096,0.4011641987694882,0.4559904754215895,0.487414958998031,0.5757819862019191,0.4275869038401442,0.452462724621383,0.5292654849746634,0.4311637362967086,0.4201113411422567,0.4247673055392773,0.4461588612224058,0.4511281222529432,0.4905084536992593,0.4482380847515029,0.4679096989154537,0.4909743794773984,0.4608798474128363,0.4815762215387007,0.4086917071593119,0.4273715894091106,0.4488046902644699,,0.4421927494841411,0.5041682203486187,0.5476383393500669,0.4853386090209614,0.5239401104661228,0.5229835019545758,0.5577706610773409,0.4488083564448747,0.4973267027147817,0.3996758995583067,0.5487986945491229,0.5120642113457499,0.4844894840998521,0.4687949373621651,0.3819267039278596,0.5375712168286872,0.5336096360112936,0.5121544142609232,0.4386608042564524,0.3553048742284526,0.5150263827461533,0.4348821205781115,0.5192506510138936,0.5699137944884465,0.4357520328708599,0.4561110595685864,0.4011856459320499,0.5411250053311215,0.4124545983821873,0.4585712238508569,0.3953243356226177,0.4523696072426484,0.4574214280657185,0.4428196137912,0.5147913462207566,0.3826756214772105,0.4582719787910668,0.5066142021689565,0.5329967961170534,0.4758517093401527,0.5113098270830408,0.4622810465167697,0.5045108565265607,0.4974162665833256,0.4075740745340084,0.4991554929652863,0.4647695274572077,0.5206975536972436,0.4920613571347295,0.4385939697775348,0.5450928904551459,0.4988071245222142,0.4809115339356237,0.4534942708275301,0.3337260558309283,0.518997640581835,0.3710497992478591,0.3557511031030578,0.4411810456996274,0.5682074019042831,0.5484359722410153,0.5017779822249521,0.4622057118881082,0.4859495791016446,0.3595509602047088,0.5098605845450522,0.4831115352944291
7,Disruptor,0.3791745577347589,0.500468258772663,0.4946729927853779,0.5283575727130128,0.4140537643525817,0.4935628843819852,0.3958877179303747,0.50008738082687,0.4788844726360384,0.4586928873737444,0.5905999028407652,0.4893854983601673,0.5225245496071842,0.5755783255604723,0.5089318927348256,0.4383944566125377,0.3975066138220472,0.4315960879340287,0.4690621505394396,0.4275869038401442,0.5557318488907221,0.4032558887494046,0.4460980379941772,0.542424887668495,0.5157391490134404,0.4704090709020279,0.4808088023662691,0.445273436756723,0.4749761648635336,0.4634963841063396,0.4186392659578556,0.4538027621837181,0.4844894840998521,0.4715581086408392,,0.4869140116057847,0.5333990245137777,0.5110383194606486,0.4369019656382571,0.5190962407320838,0.427997008078723,0.489726327287199,0.474800450386189,0.4654906901015706,0.4768761276507082,0.5676981910473373,0.4928022299458476,0.4738303921160398,0.5759961965389941,0.5449824032063655,0.3906113916175145,0.451343327849913,0.41495070562675,0.5970335181438343,0.5299959931806045,0.4666569653542525,0.4333344075589386,0.4243140692239411,0.5205190139322375,0.4197840683642111,0.4797855251743951,0.4792007893589769,0.4536198657037575,0.4772429287438016,0.4261361282788561,0.3323916544628671,0.5330834845633331,0.4627721918687752,0.3722572893054,0.5115780049623248,0.4776719517921179,0.4197840683642111,0.4733990284340305,0.4375909299782951,0.4430558870480185,0.4534942708275301,0.5045014817237251,0.5432660547505301,0.418852042057412,0.5034508804652195,0.4969122267410092,0.5361910009110368,0.5395879519438411,0.4525698634332176,0.4779146064474732,0.5026161320878098,0.4493508974235536,0.3316730717658247,0.5425147139330706,0.5007315015651076,0.5068147907051067,0.486215310976602,0.5763893098935112,0.49627881732296,0.4473191294830838,0.4709969743450826,0.4859495791016446,0.382736880250501,0.5967555815878504,0.4426486032336822,0.3226751854937401,0.5173105378126465,0.5017779822249521,0.4916422477269261,0.4785599934824048,0.5383109020528556,0.5730110984404386,0.5311967999353615,0.4330336769314387,0.4543748485450453
8,Doom,0.4669197679123401,0.5362319080604571,0.5232645215082926,0.5616814628878065,0.410124777532056,0.5192299869472136,0.4748228678416639,0.5041922638946243,0.4965912181670343,0.4797409341650054,0.5740814543183799,0.5367885721873195,0.5570164889137897,0.5102657617834473,0.542004659523102,0.4890131130922241,0.4446767720284941,0.4647277112975903,0.488958200671475,0.4373253780029361,0.5623233204731637,0.3998727222720604,0.4476081172730804,0.4862671556938625,0.4879628096408793,0.4848437529027298,0.515882202785973,0.4942205865555271,0.4906299274923931,,0.47151949265004,0.4564750421747099,0.5424763811381542,0.4904680219508017,0.4697911486750949,0.5232926845176565,0.5545190965844503,0.5500799061892598,0.4169905863102316,0.4303139666339698,0.4067871440844894,0.491655886585721,0.5145414996166705,0.5168892451167517,0.4918589091728257,0.579410431939881,0.6051615565212703,0.5476383393500669,0.5552432281514992,0.5482183901009592,0.436556523255615,0.5272748368218415,0.4161932991092449,0.6187799084450258,0.5207362104313821,0.4667988638045531,0.5272320119600014,0.4440227205127113,0.5304907179926107,0.5141411986237105,0.540034640386027,0.5490332882763033,0.4778354440809887,0.5259162256324676,0.5076581745847035,0.457159366584184,0.5622196292277536,0.4594793923868246,0.4415233783749037,0.4745376139386352,0.4584793262617934,0.4920143005341077,0.5464559886516531,0.4476073457932791,0.5355652562239293,0.5197596553755749,0.509499312131809,0.5765256384207567,0.5458179335547667,0.5264467305542441,0.5562354744769289,0.5599073053391355,0.561624918584171,0.4747215770194778,0.5558177326932118,0.5346159805577998,0.4787239922657059,0.4234657193151783,0.4536811164159315,0.430320547202556,0.4980315022940103,0.4832302799057243,0.5547967496525815,0.54431387883043,0.5338065960068443,0.5174737144626316,0.5343455315292001,0.5392853166249622,0.5595294943837877,0.4942003666061708,0.4906943604700838,0.5601553246461378,0.4717497773240239,0.5436465771441877,0.5428099778622196,0.5606115705582947,0.5169607616716422,0.467757456128161,0.4133273178263795,0.5162167462223965
9,Juggernaut,0.4726905887667339,0.5250101831508149,0.5342345746007353,0.6010028827362911,0.4472322695239966,0.5004801915214045,0.4811194768979647,0.52130981350751,0.5071432759105733,0.4656665807388033,0.5453193257213744,,0.5315087225997138,0.5193119835433003,0.520968295755447,0.4754113603712189,0.4395931598727365,0.452843042888903,0.4344387999064992,0.3970117198558804,0.5574147562541257,0.389982970882563,0.4994377409806181,0.5155825471232457,0.536319000361852,0.480253261222012,0.4943410392670095,0.4715077672246323,0.511253504859052,0.4513454102272455,0.5018242280153982,0.5130020514531155,0.4816647920095547,0.4632957156611882,0.4595072063502474,0.5158175125090335,0.5221045489963766,0.5240705664740378,0.4392292947745579,0.5130518462035872,0.4214192027852294,0.46735763623911,0.4946174459198372,0.4972362709167847,0.5315463548752036,0.5726688209970948,0.5531260971313501,0.5312257557943122,0.5365642281630848,0.5622482948051603,0.4967005907799735,0.5236332566591043,0.4500059473840986,0.5638153074749842,0.5076421747488346,0.4777491879035746,0.5387379274540609,0.5104368419740972,0.505424514466133,0.5393484782274185,0.5785008034543175,0.5997356959831963,0.4980421088602457,0.5161330302130139,0.4635969315918511,0.4535642009166067,0.5683107031823988,0.4587859205169944,0.4275577930747993,0.4690270532230267,0.5144592121461021,0.4317011886479218,0.4948144200398931,0.4345872390060578,0.49832462725995,0.440415828994309,0.5279697970258773,0.5594433149865864,0.4582423498674651,0.4976089850416,0.5392498578706467,0.5520617175012438,0.5564770813693368,0.4780092132711127,0.4759063963258536,0.5469849644704506,0.4890923182587569,0.412948514682611,0.4855318205078426,0.5283133511119048,0.433183931561629,0.5170820199672518,0.4628077145170642,0.5699020649775434,0.511615068788243,0.5583304805909723,0.5730904348053024,0.4844887047274327,0.5228956819743473,0.4877597016836005,0.5139244529196771,0.5309159036269087,0.4541027203729972,0.5452090239444768,0.4157257183275908,0.5235658620516659,0.5068020072336692,0.3896090014642536,0.5334135641821011,0.4863713434267278
